"rank","area","item","year","production","area_harvested","yield"
"16","Cambodia","Rice",1971,2732000,1880000,1.45
"21","Malaysia","Rice",1971,1816922,734532,2.47
"27","Lao People's Democratic Republic","Rice",1971,811284,664770,1.22
"87","Timor-Leste","Rice",1971,10524,7000,1.5
"96","Brunei Darussalam","Rice",1971,4381,2734,1.6
"4","Indonesia","Rice",1970,19331000,8135080,2.38
"7","Thailand","Rice",1970,13850000,6854000,2.02
"8","Viet Nam","Rice",1970,10173300,4724400,2.15
"9","Myanmar","Rice",1970,8161900,4808700,1.7
"11","Philippines","Rice",1970,5578405,3195000,1.75
"13","Cambodia","Rice",1970,3814000,2399000,1.59
"21","Malaysia","Rice",1970,1681415,704767,2.39
"25","Lao People's Democratic Republic","Rice",1970,903231,664693,1.36
"86","Timor-Leste","Rice",1970,12553,7000,1.79
"92","Brunei Darussalam","Rice",1970,6781,3456,1.96
"5","Indonesia","Rice",1969,18020200,8013620,2.25
"7","Thailand","Rice",1969,13410000,7259000,1.85
"8","Viet Nam","Rice",1969,8815000,4930000,1.79
"9","Myanmar","Rice",1969,7984700,4671600,1.71
"12","Philippines","Rice",1969,5464075,3195830,1.71
"17","Cambodia","Rice",1969,2503000,1944000,1.29
"21","Malaysia","Rice",1969,1590596,684234,2.32
"25","Lao People's Democratic Republic","Rice",1969,895503,664773,1.35
"85","Timor-Leste","Rice",1969,12767,7000,1.82
"91","Brunei Darussalam","Rice",1969,6782,3650,1.86
"5","Indonesia","Rice",1968,17162800,8020770,2.14
"7","Thailand","Rice",1968,12410000,6940000,1.79
"8","Viet Nam","Rice",1968,8366150,4893800,1.71
"9","Myanmar","Rice",1968,8022900,4763400,1.68
"12","Philippines","Rice",1968,4444656,3332150,1.33
"14","Cambodia","Rice",1968,3251000,2324000,1.4
"21","Malaysia","Rice",1968,1433953,660372,2.17
"26","Lao People's Democratic Republic","Rice",1968,771000,656000,1.18
"75","Timor-Leste","Rice",1968,21566,11000,1.96
"94","Brunei Darussalam","Rice",1968,5522,3480,1.59
"6","Indonesia","Rice",1967,13222000,7516000,1.76
"7","Thailand","Rice",1967,11198000,6400000,1.75
"8","Viet Nam","Rice",1967,9188400,4795800,1.92
"9","Myanmar","Rice",1967,7769400,4706000,1.65
"12","Philippines","Rice",1967,4560700,3304000,1.38
"15","Cambodia","Rice",1967,2457000,2020000,1.22
"21","Malaysia","Rice",1967,1205068,597599,2.02
"25","Lao People's Democratic Republic","Rice",1967,811000,960000,0.84
"81","Timor-Leste","Rice",1967,15291,8700,1.76
"93","Brunei Darussalam","Rice",1967,5523,3480,1.59
"6","Indonesia","Rice",1966,13650000,7691000,1.77
"7","Thailand","Rice",1966,13500000,7353000,1.84
"8","Viet Nam","Rice",1966,8463500,4681300,1.81
"9","Myanmar","Rice",1966,6636400,4516500,1.47
"12","Philippines","Rice",1966,4094020,3096120,1.32
"15","Cambodia","Rice",1966,2376000,2182000,1.09
"21","Malaysia","Rice",1966,1226678,572995,2.14
"24","Lao People's Democratic Republic","Rice",1966,754000,930000,0.81
"83","Timor-Leste","Rice",1966,11764,7087,1.66
"95","Brunei Darussalam","Rice",1966,3408,2448,1.39
"6","Indonesia","Rice",1965,12975000,7327000,1.77
"7","Thailand","Rice",1965,11164000,6270000,1.78
"8","Viet Nam","Rice",1965,9369700,4826300,1.94
"9","Myanmar","Rice",1965,8055100,4848300,1.66
"12","Philippines","Rice",1965,4072636,3109180,1.31
"15","Cambodia","Rice",1965,2500000,2344000,1.07
"21","Malaysia","Rice",1965,1255608,581904,2.16
"24","Lao People's Democratic Republic","Rice",1965,740000,916000,0.81
"87","Timor-Leste","Rice",1965,9536,5745,1.66
"96","Brunei Darussalam","Rice",1965,2946,2510,1.17
"6","Indonesia","Rice",1964,12306000,6980000,1.76
"7","Thailand","Rice",1964,11600000,6310000,1.84
"8","Viet Nam","Rice",1964,9697030,4987800,1.94
"9","Myanmar","Rice",1964,8507700,4976100,1.71
"12","Philippines","Rice",1964,3992400,3199670,1.25
"15","Cambodia","Rice",1964,2760000,2377000,1.16
"21","Malaysia","Rice",1964,1109782,555785,2
"24","Lao People's Democratic Republic","Rice",1964,735000,916000,0.8
"81","Timor-Leste","Rice",1964,12696,9300,1.37
"93","Brunei Darussalam","Rice",1964,3441,2600,1.32
"6","Thailand","Rice",1963,12171000,6500000,1.87
"7","Indonesia","Rice",1963,11595000,6731000,1.72
"8","Viet Nam","Rice",1963,9622670,4496520,2.14
"9","Myanmar","Rice",1963,7782900,4877500,1.6
"12","Philippines","Rice",1963,3842860,3087450,1.24
"15","Cambodia","Rice",1963,2622000,2233000,1.17
"21","Malaysia","Rice",1963,1190214,552947,2.15
"26","Lao People's Democratic Republic","Rice",1963,520000,6e+05,0.87
"80","Timor-Leste","Rice",1963,14000,9100,1.54
"93","Brunei Darussalam","Rice",1963,3868,2821,1.37
"6","Indonesia","Rice",1962,13004000,7283000,1.79
"7","Thailand","Rice",1962,11250000,6540000,1.72
"8","Viet Nam","Rice",1962,9747040,4888860,1.99
"9","Myanmar","Rice",1962,7664700,4654000,1.65
"12","Philippines","Rice",1962,3966980,3161320,1.25
"16","Cambodia","Rice",1962,2039000,2286000,0.89
"21","Malaysia","Rice",1962,1125343,544223,2.07
"26","Lao People's Democratic Republic","Rice",1962,510000,590000,0.86
"80","Timor-Leste","Rice",1962,15300,9000,1.7
"90","Brunei Darussalam","Rice",1962,5245,2831,1.85
"6","Indonesia","Rice",1961,12084000,6857000,1.76
"7","Thailand","Rice",1961,10150000,6120000,1.66
"8","Viet Nam","Rice",1961,8997400,4744000,1.9
"9","Myanmar","Rice",1961,6834100,4253700,1.61
"12","Philippines","Rice",1961,3910100,3179190,1.23
"15","Cambodia","Rice",1961,2383000,2182000,1.09
"21","Malaysia","Rice",1961,1089075,516489,2.11
"25","Lao People's Democratic Republic","Rice",1961,540000,620000,0.87
"78","Timor-Leste","Rice",1961,16757,8400,1.99
"88","Brunei Darussalam","Rice",1961,4908,2836,1.73
